brand, product_name, shipping
EVGA, EVGA GeForce RTX 2070 SUPER BLACK GAMING | 08G-P4-3071-KR | 8GB GDDR6, $3.99 Shipping
GIGABYTE, GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card | PCIe 4.0 | 8GB 256-Bit GDDR6 | GV-R57XTGAMING OC-8GD Video Card, Free Shipping
MSI, MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card, Free Shipping
ASUS, ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card, Free Shipping
EVGA, EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING | 08G-P4-3067-KR | 8GB GDDR6 | Dual HDB Fans | Metal Backplate, $3.99 Shipping
XFX, XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card, $3.99 Shipping
Sapphire Tech, Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI) | 100411P8GOCL, Free Shipping
MSI, MSI Radeon RX 5700 DirectX 12 RX 5700 EVOKE OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card, Free Shipping
XFX, XFX RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6, $3.99 Shipping
GIGABYTE, GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card | 3 x WINDFORCE Fans | 8GB 256-Bit GDDR6 | GV-N208SGAMING OC-8GC Video Card, Free Shipping
ASUS, ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, Free Shipping
ASRock, ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card, Free Shipping
